Iteration,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Elapsed Time (hh:mm:ss:ms)
0,136,0,0,0,0,00:00:00:001
1,262,5166,531,415,514,00:09:52:880
2,0,4776,23,12,505,00:09:04:051
Total:,398,9942,554,427,1019,00:18:56:932

