Window,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Re-run Fail(1),Re-run Fail(2),Re-run Fail(3),Re-run Fail(4)
1,15,1244,143,90,242,0,0,0,0
2,6,1237,113,83,189,0,0,0,0
3,153,1230,68,81,191,0,0,0,0
4,56,1223,56,79,143,0,0,0,0
5,5,1228,59,65,129,0,0,0,0
6,12,1266,37,16,51,0,0,0,0
7,7,1257,44,13,56,0,0,0,0
8,8,1257,34,0,18,0,0,0,0
Total:,262,9942,554,427,1019,0,0,0,0

