#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
2 0 5 10 1 0
2 0 6 10 1 0
2 0 7 10 1 0
2 0 8 10 1 0
2 0 9 10 1 0
2 0 10 10 2 0
2 0 11 10 1 0
2 0 12 10 2 0
2 0 13 10 3 0
2 0 14 10 5 0
2 0 15 10 5 0
2 0 16 10 7 0
2 0 17 10 8 0
2 0 18 10 9 0
2 0 19 10 9 0
2 0 20 10 10 0
2 0 21 10 12 0
2 0 22 10 14 1
2 0 23 10 16 0
2 0 24 10 19 0
2 0 25 10 20 0
2 0 26 10 22 0
2 0 27 10 25 1
2 0 28 10 26 0
2 0 29 10 30 1
2 0 30 10 31 0
2 0 31 10 33 0
2 0 32 10 36 1
2 0 33 10 39 0
2 0 34 10 42 0
2 0 35 10 45 0
2 0 36 10 48 0
2 0 37 10 51 0
2 0 38 10 54 0
2 0 39 10 57 1
2 0 40 10 60 0
2 0 41 10 64 0
2 0 42 10 68 1
2 0 43 10 72 1
2 0 44 10 76 1
2 0 45 10 80 1
2 0 46 10 84 1
2 0 47 10 88 1
2 0 48 10 92 1
2 0 49 10 96 1
2 0 50 10 100 3
