#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
3 2 5 10 1 0
3 2 6 10 1 0
3 2 7 10 1 0
3 2 8 10 1 0
3 2 9 10 1 0
3 2 10 10 1 0
3 2 11 10 1 0
3 2 12 10 2 0
3 2 13 10 3 0
3 2 14 10 10 0
3 2 15 10 5 0
3 2 16 10 6 0
3 2 17 10 11 0
3 2 18 10 11 0
3 2 19 10 14 0
3 2 20 10 13 0
3 2 21 10 15 0
3 2 22 10 19 0
3 2 23 10 22 0
3 2 24 10 23 0
3 2 25 10 32 0
3 2 26 10 31 0
3 2 27 10 33 0
3 2 28 10 33 0
3 2 29 10 50 0
3 2 30 10 51 0
3 2 31 10 40 0
3 2 32 10 46 0
3 2 33 10 44 0
3 2 34 10 50 0
3 2 35 10 57 0
3 2 36 10 68 0
3 2 37 10 61 0
3 2 38 10 75 0
3 2 39 10 73 0
3 2 40 10 75 0
3 2 41 10 75 0
3 2 42 10 79 0
3 2 43 10 94 0
3 2 44 10 90 0
3 2 45 10 99 0
3 2 46 10 106 0
3 2 47 10 100 1
3 2 48 10 103 0
3 2 49 10 133 0
3 2 50 10 118 0
