#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
2 2 5 10 1 0
2 2 6 10 1 0
2 2 7 10 1 0
2 2 8 10 1 0
2 2 9 10 1 0
2 2 10 10 1 0
2 2 11 10 1 0
2 2 12 10 2 0
2 2 13 10 3 0
2 2 14 10 5 0
2 2 15 10 5 0
2 2 16 10 6 0
2 2 17 10 8 0
2 2 18 10 9 0
2 2 19 10 9 0
2 2 20 10 10 0
2 2 21 10 12 0
2 2 22 10 14 0
2 2 23 10 16 0
2 2 24 10 18 0
2 2 25 10 20 0
2 2 26 10 22 0
2 2 27 10 24 0
2 2 28 10 26 0
2 2 29 10 29 1
2 2 30 10 31 1
2 2 31 10 33 1
2 2 32 10 36 0
2 2 33 10 39 0
2 2 34 10 42 1
2 2 35 10 45 1
2 2 36 10 48 1
2 2 37 10 51 1
2 2 38 10 54 1
2 2 39 10 57 1
2 2 40 10 60 1
2 2 41 10 64 1
2 2 42 10 68 1
2 2 43 10 72 1
2 2 44 10 76 0
2 2 45 10 80 1
2 2 46 10 84 1
2 2 47 10 88 1
2 2 48 10 92 1
2 2 49 10 96 3
2 2 50 10 101 2
