#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
1 2 5 10 1 0
1 2 6 10 1 0
1 2 7 10 1 0
1 2 8 10 1 0
1 2 9 10 1 0
1 2 10 10 1 0
1 2 11 10 1 0
1 2 12 10 2 0
1 2 13 10 3 0
1 2 14 10 5 0
1 2 15 10 5 0
1 2 16 10 6 0
1 2 17 10 8 0
1 2 18 10 9 0
1 2 19 10 9 0
1 2 20 10 11 0
1 2 21 10 12 0
1 2 22 10 14 0
1 2 23 10 16 0
1 2 24 10 18 0
1 2 25 10 20 0
1 2 26 10 22 0
1 2 27 10 24 1
1 2 28 10 26 0
1 2 29 10 29 1
1 2 30 10 30 0
1 2 31 10 33 1
1 2 32 10 36 0
1 2 33 10 39 1
1 2 34 10 42 0
1 2 35 10 45 0
1 2 36 10 48 0
1 2 37 10 51 0
1 2 38 10 54 0
1 2 39 10 57 0
1 2 40 10 61 1
1 2 41 10 64 1
1 2 42 10 68 1
1 2 43 10 72 1
1 2 44 10 76 0
1 2 45 10 80 0
1 2 46 10 84 0
1 2 47 10 88 0
1 2 48 10 92 1
1 2 49 10 96 1
1 2 50 10 101 0
