#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
1 1 5 10 1 0
1 1 6 10 1 0
1 1 7 10 1 0
1 1 8 10 1 0
1 1 9 10 1 0
1 1 10 10 1 0
1 1 11 10 1 0
1 1 12 10 3 0
1 1 13 10 4 0
1 1 14 10 5 0
1 1 15 10 11 0
1 1 16 10 8 0
1 1 17 10 13 0
1 1 18 10 16 0
1 1 19 10 19 0
1 1 20 10 20 0
1 1 21 10 25 0
1 1 22 10 26 0
1 1 23 10 44 0
1 1 24 10 60 0
1 1 25 10 39 0
1 1 26 10 65 0
1 1 27 10 76 0
1 1 28 10 94 0
1 1 29 10 79 0
1 1 30 10 84 0
1 1 31 10 82 0
1 1 32 10 70 0
1 1 33 10 98 0
1 1 34 10 109 0
1 1 35 10 105 0
1 1 36 10 148 0
1 1 37 10 180 0
1 1 38 10 224 0
1 1 39 10 209 0
1 1 40 10 179 0
1 1 41 10 148 0
1 1 42 10 294 0
1 1 43 10 197 0
1 1 44 10 244 0
1 1 45 10 211 0
1 1 46 10 351 0
1 1 47 10 299 0
1 1 48 10 318 0
1 1 49 10 277 0
1 1 50 10 298 0
