#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
1 0 5 10 1 0
1 0 6 10 1 0
1 0 7 10 1 0
1 0 8 10 1 0
1 0 9 10 1 0
1 0 10 10 2 0
1 0 11 10 1 0
1 0 12 10 2 0
1 0 13 10 3 0
1 0 14 10 5 1
1 0 15 10 5 0
1 0 16 10 7 0
1 0 17 10 8 0
1 0 18 10 9 0
1 0 19 10 9 1
1 0 20 10 10 0
1 0 21 10 12 0
1 0 22 10 14 0
1 0 23 10 16 0
1 0 24 10 19 0
1 0 25 10 20 0
1 0 26 10 22 0
1 0 27 10 24 0
1 0 28 10 26 1
1 0 29 10 30 0
1 0 30 10 31 0
1 0 31 10 34 0
1 0 32 10 36 1
1 0 33 10 39 0
1 0 34 10 42 0
1 0 35 10 45 0
1 0 36 10 48 0
1 0 37 10 51 1
1 0 38 10 54 1
1 0 39 10 57 0
1 0 40 10 61 0
1 0 41 10 64 0
1 0 42 10 68 0
1 0 43 10 72 0
1 0 44 10 76 0
1 0 45 10 80 1
1 0 46 10 84 1
1 0 47 10 88 1
1 0 48 10 92 0
1 0 49 10 96 0
1 0 50 10 100 1
