#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
3 0 5 10 1 0
3 0 6 10 1 0
3 0 7 10 1 0
3 0 8 10 1 0
3 0 9 10 1 0
3 0 10 10 2 0
3 0 11 10 1 0
3 0 12 10 2 0
3 0 13 10 3 0
3 0 14 10 5 0
3 0 15 10 6 0
3 0 16 10 7 0
3 0 17 10 17 0
3 0 18 10 9 0
3 0 19 10 15 0
3 0 20 10 15 0
3 0 21 10 14 0
3 0 22 10 18 0
3 0 23 10 27 0
3 0 24 10 29 0
3 0 25 10 25 0
3 0 26 10 33 0
3 0 27 10 30 0
3 0 28 10 35 0
3 0 29 10 38 0
3 0 30 10 45 1
3 0 31 10 42 0
3 0 32 10 47 0
3 0 33 10 52 0
3 0 34 10 56 0
3 0 35 10 60 0
3 0 36 10 62 0
3 0 37 10 65 1
3 0 38 10 64 0
3 0 39 10 83 0
3 0 40 10 71 0
3 0 41 10 75 0
3 0 42 10 102 0
3 0 43 10 86 0
3 0 44 10 84 0
3 0 45 10 92 0
3 0 46 10 92 0
3 0 47 10 111 1
3 0 48 10 109 0
3 0 49 10 109 0
3 0 50 10 132 0
