Window,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Re-run Fail(1),Re-run Fail(2),Re-run Fail(3),Re-run Fail(4)
1,2,306,80,158,166,0,0,0,0
2,10,310,45,150,156,0,0,0,0
3,12,311,32,146,152,0,0,0,0
4,8,311,25,141,146,0,0,0,0
5,25,310,30,138,152,0,0,0,0
6,18,309,25,133,140,0,0,0,0
7,35,309,18,127,130,0,0,0,0
8,16,307,12,124,127,0,0,0,0
Total:,126,2473,267,1117,1169,0,0,0,0

