Iteration,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Elapsed Time (hh:mm:ss:ms)
0,36,0,0,0,0,00:00:00:000
1,119,1319,147,73,107,00:22:43:795
2,2,1157,135,1,10,00:21:45:524
3,0,72,0,1072,1081,00:01:15:860
Total:,157,2548,282,1146,1198,00:45:45:179

