Window,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Re-run Fail(1),Re-run Fail(2),Re-run Fail(3),Re-run Fail(4)
1,2,317,85,161,170,0,0,0,0
2,8,319,49,153,158,0,0,0,0
3,9,321,35,149,155,0,0,0,0
4,8,320,26,144,148,0,0,0,0
5,25,320,31,141,155,0,0,0,0
6,18,318,26,137,144,0,0,0,0
7,35,318,18,132,136,0,0,0,0
8,16,315,12,129,132,0,0,0,0
Total:,121,2548,282,1146,1198,0,0,0,0

