100000	1.008E-012	2.08E-013	6.86000000000001E-013
200000	4.665E-013	1.065E-013	3.475E-013
300000	3.22444444444444E-013	7.17777777777778E-014	2.35333333333333E-013
400000	2.425E-013	5.45E-014	1.79375E-013
500000	1.936E-013	4.384E-014	1.4336E-013
600000	1.62833333333333E-013	3.73333333333334E-014	1.21055555555556E-013
700000	1.40938775510204E-013	3.28163265306123E-014	1.04163265306122E-013
800000	1.2415625E-013	2.815625E-014	9.090625E-014
900000	1.11555555555556E-013	2.49876543209877E-014	8.17283950617284E-014
1000000	1.0064E-013	0	7.332E-014
