100000	0.01008	0.00208	0.00686
200000	0.01866	0.00426	0.0139
300000	0.02902	0.00646	0.02118
400000	0.0388	0.00872	0.0287
500000	0.0484	0.01096	0.03584
600000	0.05862	0.01344	0.04358
700000	0.06906	0.01608	0.05104
800000	0.07946	0.01802	0.05818
900000	0.09036	0.02024	0.0662
1000000	0.10064	0.02348	0.07332
