Window,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Re-run Fail(1),Re-run Fail(2),Re-run Fail(3),Re-run Fail(4)
1,15,1242,142,90,242,0,0,0,0
2,6,1235,113,83,189,0,0,0,0
3,150,1228,68,81,191,0,0,0,0
4,60,1221,56,79,143,0,0,0,0
5,5,1227,59,64,128,0,0,0,0
6,12,1264,37,16,51,0,0,0,0
7,7,1255,44,13,56,0,0,0,0
8,8,1255,34,0,18,0,0,0,0
Total:,263,9927,553,426,1018,0,0,0,0

