#cantNodos cantColores HaySolucion tiempoEnMS
5 10 X 0
6 10 X 0
7 10 X .1
8 10 X .1
9 10 X .6
10 10 X .4
11 10 X .10
12 10 X .30
13 10 X .30
14 10 X .61
15 10 X .145
16 10 X .348
17 10 X .589
18 10 X .642
19 10 X .373
20 10 X 37.696
21 10 X 34.123
22 10 X .674
23 10 X 115.24
24 10 X 583.730
25 10 X 571.602
