#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
3 1 5 10 1 0
3 1 6 10 1 0
3 1 7 10 1 0
3 1 8 10 1 0
3 1 9 10 1 0
3 1 10 10 1 0
3 1 11 10 1 0
3 1 12 10 1 0
3 1 13 10 1 0
3 1 14 10 1 0
3 1 15 10 1 0
3 1 16 10 1 0
3 1 17 10 1 0
3 1 18 10 1 0
3 1 19 10 1 0
3 1 20 10 1 0
3 1 21 10 1 0
3 1 22 10 1 0
3 1 23 10 1 0
3 1 24 10 1 0
3 1 25 10 1 0
