Iteration,Lines Deleted,Compilations,Executions,Cachced Compilations,Cached Executions,Elapsed Time (hh:mm:ss:ms)
0,58,0,0,0,0,00:00:00:000
1,157,2017,131,160,218,00:38:25:194
2,5,1753,82,11,12,00:25:56:995
3,0,369,0,1379,1388,00:05:01:505
Total:,220,4139,213,1550,1618,01:09:23:694

