#cant	Vecindad 1	Vecindad 2	Vacindad 3   
20	171	   	171		171
40	741	     	741		741
60	1711		1711		1711
80	3081 		3081		3081
100	4851		4851		4851
120	7021		7021		7021
140	9591		9591		9591
160	12561		12561		12561
180	15931		15931		15931
200	19701		19701		19701
