#cant	Vecindad 1	Vecindad 2	Vacindad 3   
20	1	   	0		0
40	1	     	1		1
60	4		4		4
80	13 		13		13
100	30		29		29
120	61		61		61
140	112		111		110
160	193		187		188
180	308		306		306
200	468		458		470
