#cant	Vacindario 1	Vacindario 2	Vacindario 3	Golosa
8191	2048		2048		2048		2048
16383	4096		4096		4096		4096
32767	8192		8192		8192		8192
65535	16384		16384		16384		16384
131071	32768		32768		32768		32768
262143	65536		65536		65536		65536
524287	131072		131072		131072		131072
1048575	262144		262144		262144		262144
