#cant	Vacindario 1	Vacindario 2	Vacindario 3
40	741		741		741
80	3081		3081		3081		
120	7021		7021		7021
160	12561		12561		12561
200	19701		19701		19701
240	28441		28441		28441
280	38781		38781		38781
320	50721		50721		50721
360	64261		64261		64261
400	79401		79401		79401
