#cant	Vacindario 1	Vacindario 2	Vacindario 3
8191	7		3		3
16383	11		14		7
32767	24		27		15
65535	57		71		52
131071	141		146		120
262143	246		305		278
524287	379		574		534
1048575	1243		805		793
